period_start,review_count,average_rating,low_score_ratio,high_score_ratio,period_type
2010-04-01,14,2.0714,0.5714,0.0,month
2010-05-01,81,2.4321,0.3704,0.0,month
2010-06-01,58,2.2414,0.4655,0.0,month
2010-07-01,89,2.2697,0.4157,0.0,month
2010-08-01,112,2.0089,0.5714,0.0,month
2010-09-01,103,2.068,0.5631,0.0,month
2010-10-01,57,2.0526,0.614,0.0,month
2010-11-01,51,2.1961,0.5294,0.0,month
2010-12-01,86,1.9884,0.593,0.0,month
2011-01-01,103,2.1165,0.5146,0.0,month
2011-02-01,98,1.9082,0.6429,0.0,month
2011-03-01,61,1.9016,0.6393,0.0,month
2011-04-01,80,1.875,0.65,0.0,month
2011-05-01,50,1.98,0.66,0.0,month
2011-06-01,65,1.9385,0.6462,0.0,month
2011-07-01,52,1.9038,0.6923,0.0,month
2011-08-01,66,1.9394,0.6667,0.0,month
2011-09-01,56,2.1071,0.5714,0.0,month
2011-10-01,45,2.0667,0.6444,0.0,month
2011-11-01,32,1.7812,0.75,0.0312,month
2011-12-01,57,1.7895,0.6667,0.0,month
2012-01-01,53,1.7358,0.717,0.0189,month
2012-02-01,79,1.6329,0.7722,0.0127,month
2012-03-01,347,1.8444,0.7435,0.0865,month
2012-04-01,73,1.9452,0.6849,0.0411,month
2012-05-01,100,1.9,0.67,0.03,month
2012-06-01,109,2.1927,0.5321,0.0275,month
2012-07-01,143,2.0769,0.6154,0.0,month
2012-08-01,103,2.1068,0.5437,0.0,month
2012-09-01,108,1.9259,0.6667,0.0,month
2012-10-01,130,2.0077,0.6077,0.0154,month
2012-11-01,96,2.0104,0.6042,0.0,month
2012-12-01,96,1.9271,0.6771,0.0,month
2013-01-01,89,2.0674,0.5955,0.0,month
2013-02-01,81,1.8272,0.6667,0.0,month
2013-03-01,825,2.8255,0.4582,0.3818,month
2013-04-01,158,2.7089,0.4937,0.3038,month
2013-05-01,92,2.0652,0.6087,0.0,month
2013-06-01,81,1.9506,0.6173,0.0247,month
2013-07-01,107,1.7944,0.7009,0.0,month
2013-08-01,85,1.9882,0.6235,0.0235,month
2013-09-01,97,1.9381,0.6392,0.0206,month
2013-10-01,104,2.1923,0.5192,0.1058,month
2013-11-01,172,2.7326,0.3721,0.3314,month
2013-12-01,208,2.7308,0.3798,0.3606,month
2014-01-01,253,2.6403,0.4387,0.3557,month
2014-02-01,191,2.6597,0.4398,0.4084,month
2014-03-01,1244,2.9437,0.4453,0.4445,month
2014-04-01,366,2.612,0.4836,0.3415,month
2014-05-01,328,2.1707,0.5884,0.2165,month
2014-06-01,427,1.9227,0.6815,0.1546,month
2014-07-01,523,2.1434,0.6023,0.2314,month
2014-08-01,581,2.0706,0.6368,0.2203,month
2014-09-01,531,2.2109,0.5819,0.1789,month
2014-10-01,300,2.6267,0.45,0.23,month
2014-11-01,369,2.6016,0.4201,0.1599,month
2014-12-01,484,2.7789,0.405,0.3347,month
2015-01-01,429,2.5361,0.4709,0.2587,month
2015-02-01,340,2.5382,0.4647,0.2235,month
2015-03-01,1224,2.6634,0.5131,0.3407,month
2015-04-01,372,2.5591,0.4973,0.25,month
2015-05-01,387,3.0181,0.3669,0.3773,month
2015-06-01,304,2.6546,0.4605,0.2204,month
2015-07-01,342,2.5234,0.4883,0.1637,month
2015-08-01,320,2.5344,0.5156,0.1688,month
2015-09-01,347,2.5821,0.513,0.2017,month
2015-10-01,460,2.5478,0.5326,0.1783,month
2015-11-01,421,2.5891,0.5059,0.2043,month
2015-12-01,493,2.6471,0.5172,0.2231,month
2016-01-01,483,2.7474,0.4182,0.2422,month
2016-02-01,410,2.7439,0.4073,0.2122,month
2016-03-01,1038,3.1233,0.3565,0.3988,month
2016-04-01,532,2.8553,0.3853,0.2895,month
2016-05-01,421,2.6437,0.4822,0.1995,month
2016-06-01,413,2.8378,0.3608,0.2421,month
2016-07-01,446,2.8117,0.3901,0.2825,month
2016-08-01,617,2.6483,0.4327,0.188,month
2016-09-01,524,2.6775,0.4198,0.2156,month
2016-10-01,437,2.8375,0.3593,0.2838,month
2016-11-01,520,2.7365,0.4058,0.2288,month
2016-12-01,786,3.0751,0.3066,0.4338,month
2017-01-01,625,2.9536,0.3616,0.3696,month
2017-02-01,889,2.5411,0.4803,0.1969,month
2017-03-01,985,2.9157,0.4081,0.3685,month
2017-04-01,823,3.0923,0.3426,0.4119,month
2017-05-01,1132,2.833,0.4125,0.2615,month
2017-06-01,741,2.969,0.3725,0.3293,month
2017-07-01,872,3.2947,0.2764,0.4438,month
2017-08-01,803,3.2516,0.2715,0.4384,month
2017-09-01,701,2.9786,0.3937,0.3267,month
2017-10-01,722,2.9072,0.3934,0.2867,month
2017-11-01,978,2.9744,0.3252,0.3282,month
2017-12-01,990,3.0091,0.3848,0.3636,month
2018-01-01,825,2.7927,0.4255,0.2824,month
2018-02-01,727,2.8446,0.4237,0.2916,month
2018-03-01,1239,2.8031,0.4423,0.3164,month
2018-04-01,984,2.8669,0.372,0.2937,month
2018-05-01,867,2.91,0.3656,0.3426,month
2018-06-01,791,2.8142,0.4248,0.2592,month
2018-07-01,830,2.8928,0.3783,0.2892,month
2018-08-01,985,2.869,0.3726,0.266,month
2018-09-01,4204,3.2055,0.3275,0.4612,month
2018-10-01,6838,3.3388,0.2837,0.5094,month
2018-11-01,6500,3.4132,0.2635,0.5315,month
2018-12-01,6560,3.3034,0.3047,0.5002,month
2019-01-01,6862,3.2594,0.3247,0.5047,month
2019-02-01,6871,3.2959,0.3043,0.5113,month
2019-03-01,7998,3.2864,0.319,0.5135,month
2019-04-01,7531,3.1967,0.3393,0.4813,month
2019-05-01,7805,3.1967,0.3393,0.4788,month
2019-06-01,7702,3.1371,0.3604,0.4614,month
2019-07-01,8806,3.2908,0.325,0.5162,month
2019-08-01,9733,3.102,0.3669,0.457,month
2019-09-01,10150,3.1247,0.3622,0.465,month
2019-10-01,9350,3.1109,0.3612,0.4461,month
2019-11-01,7904,3.1347,0.3597,0.457,month
2019-12-01,9197,3.123,0.3641,0.456,month
2020-01-01,10762,3.2741,0.3308,0.4974,month
2020-02-01,8563,3.1181,0.364,0.4495,month
2020-03-01,11809,3.1617,0.3523,0.4591,month
2020-04-01,16612,3.1564,0.357,0.4559,month
2020-05-01,14661,3.0435,0.3865,0.419,month
2020-06-01,12028,3.1028,0.3673,0.4398,month
2020-07-01,13172,3.102,0.3629,0.4422,month
2020-08-01,12774,3.183,0.3419,0.4729,month
2020-09-01,11443,3.1686,0.3493,0.4604,month
2020-10-01,12085,3.0471,0.3898,0.4311,month
2020-11-01,11606,2.9816,0.4034,0.4107,month
2020-12-01,12889,3.1077,0.3655,0.4485,month
2021-01-01,13028,3.1006,0.3677,0.4403,month
2021-02-01,12145,3.0625,0.383,0.4311,month
2021-03-01,14591,2.9872,0.4039,0.4096,month
2021-04-01,11695,2.9964,0.3947,0.4037,month
2021-05-01,12017,3.0375,0.3895,0.4248,month
2021-06-01,11480,3.0357,0.3848,0.4228,month
2021-07-01,12532,3.0681,0.3818,0.4332,month
2021-08-01,11885,2.9549,0.4136,0.3985,month
2021-09-01,11365,2.9153,0.4301,0.386,month
2021-10-01,11426,2.9564,0.4125,0.3975,month
2021-11-01,11005,2.9102,0.4264,0.3866,month
2021-12-01,10976,2.9678,0.4135,0.4002,month
2022-01-01,11523,3.0057,0.3963,0.4142,month
2022-02-01,10492,3.0894,0.3813,0.4438,month
2022-03-01,13272,3.0063,0.4083,0.4242,month
2022-04-01,11957,3.001,0.4021,0.4121,month
2022-05-01,11543,3.0367,0.3878,0.4197,month
2022-06-01,10584,3.0162,0.3975,0.4133,month
2022-07-01,11854,3.0006,0.3963,0.4066,month
2022-08-01,11559,2.9491,0.4191,0.3924,month
2022-09-01,10681,2.9108,0.4281,0.3888,month
2022-10-01,10318,2.9182,0.4268,0.3903,month
2022-11-01,9987,2.948,0.4261,0.3984,month
2022-12-01,9965,2.9136,0.438,0.3905,month
2023-01-01,12357,2.9807,0.4106,0.4106,month
2023-02-01,9423,2.9672,0.4171,0.4084,month
2023-03-01,10686,2.9582,0.4163,0.3977,month
2023-04-01,9883,2.9074,0.4284,0.3869,month
2023-05-01,8911,2.8586,0.4425,0.3658,month
2023-06-01,8966,2.9364,0.4217,0.3976,month
2023-07-01,10236,2.9494,0.421,0.3985,month
2023-08-01,9885,2.9094,0.4305,0.3877,month
2023-09-01,9712,2.9036,0.4366,0.3892,month
2023-10-01,10165,2.9452,0.4191,0.4041,month
2023-11-01,10002,2.9861,0.4174,0.4108,month
2023-12-01,10925,2.9897,0.4107,0.4066,month
2024-01-01,11441,3.0253,0.4028,0.4203,month
2024-02-01,11307,2.9352,0.4326,0.3967,month
2024-03-01,14048,2.9727,0.4275,0.4132,month
2024-04-01,13336,2.954,0.4261,0.4075,month
2024-05-01,13099,2.9737,0.415,0.4124,month
2024-06-01,13250,2.9535,0.4231,0.4081,month
2024-07-01,13343,2.8845,0.4474,0.3899,month
2024-08-01,13579,2.9096,0.4431,0.3966,month
2024-09-01,13632,2.9345,0.436,0.4025,month
2024-10-01,17465,2.9749,0.4213,0.4126,month
2024-11-01,27000,3.0509,0.4161,0.4557,month
2024-12-01,29154,3.063,0.414,0.4627,month
2025-01-01,30941,3.1378,0.3968,0.4843,month
2025-02-01,37161,3.2819,0.3625,0.5292,month
2025-03-01,51037,3.314,0.3557,0.5387,month
2025-04-01,28321,3.4197,0.3337,0.5707,month
