review_id,entity_type,title,primary_category,review_date,review_score,rating_sentiment,text_sentiment_label,text_sentiment_score,helpful_count,review_text
games_139_20240316_752574,game,Free Fire MAX,Action,2024-03-16,2,negative,positive,0.3964,184949,"This game is beyond infuriating! Despite having a stellar network connection, Free Fire just refuses to cooperate. Every time I attempt to start a match, it gets stuck at the loading screen indefinitely. It's like the ga"
games_15_20220614_499374,game,Ludo King®,Board,2022-06-14,2,negative,positive,0.8126,67938,"When we get 6, and then other number, then I think you should allow a move only after finishing all the turns and not on every 6, because ultimately that person is still playing, and incomplete move cause irritation. Som"
games_15_20230320_498708,game,Ludo King®,Board,2023-03-20,1,negative,positive,0.7016,61043,"Very poor algorithm. The turns are not at all random and is created in a way to make the game prolonged. Once you play a few matches, you realise that the game plays out in a way to make it exciting for the players. Even"
games_15_20230809_498703,game,Ludo King®,Board,2023-08-09,1,negative,positive,0.9469,57992,"This app should be removed from the store. Such a poor algorithm is implemented, ensuring that no matter how hard you try, you'll need to purchase coins once you surpass 10k points. I highly recommend not spending any mo"
games_15_20240205_499074,game,Ludo King®,Board,2024-02-05,1,negative,positive,0.743,54805,"The Ul is the best amongst the peers. The game speed is excellent. However, after a while you realise that the game is biased towards certain opponents. Also, if you play 4 player games, you will find that the games are "
games_15_20230113_498719,game,Ludo King®,Board,2023-01-13,1,negative,positive,0.7016,37014,"Very poor algorithm. The turns are not at all random and is created in a way to make the game prolonged. Once you play a few matches, you realise that the game plays out in a way to make it exciting for the players. Even"
games_15_20220408_499172,game,Ludo King®,Board,2022-04-08,1,negative,positive,0.3366,33583,The game is completely biased. I try to play so good but somehow it always makes me move at an unsafe place and gives the other player the exact no. of moves it needs to cut my chances. I have seen this especially when t
games_15_20230903_498911,game,Ludo King®,Board,2023-09-03,1,negative,positive,0.8996,33328,"The game is good! But this app's algorithm fixes the winner first and then give the numbers on dice accordingly! It's not at all random numbers on dice, it's just the algorithm... How it's want you to play the game, it'l"
games_139_20241024_754426,game,Free Fire MAX,Action,2024-10-24,4,positive,negative,-0.4138,30124,"My android device switched off because of less battery percentage unexpectedly. When I try to open the app again, it keeps on providing the message ""Network busy, please retry"". The message conveys that server is current"
games_277_20230826_1020708,game,My Talking Angela 2,Simulation,2023-08-26,2,negative,positive,0.8793,25466,"Everything works well, except there are few bugs that I must tell. Firstly, one of Angela's happy expressions doesn't have her voice in it (like it used to be, do check). Second, where's the sticker shop button? I eventu"
games_139_20240502_752522,game,Free Fire MAX,Action,2024-05-02,2,negative,positive,0.8943,25301,First it was a really good game. But now I couldn't play any modes. It started in royale hide and seek and zombie modes but now I couldn't play in any modes. My friends and I go play together they all go into the match b
games_246_20200818_925193,game,My Talking Tom,Simulation,2020-08-18,1,negative,positive,0.3774,25014,"Talking tom.is really fun for my toddler, he loves playing with the app. But the whole experience is ruined by the ads in the app. The pop up ads and there's barely a place on the app thats wouldn't trigger an ad you can"
games_123_20181031_693990,game,Lords Mobile: Kingdom Wars,Strategy,2018-10-31,2,negative,positive,0.9251,24708,"The game is just OK. It is a good example of false advertisements. One cannot control wars or have different battle formations as is shown in the ads. Initial upgrades can be done at ease but later on, research upgrades "
games_15_20240828_498832,game,Ludo King®,Board,2024-08-28,1,negative,positive,0.9675,23197,"I've been playing Ludo King for a while now, but it has become a truly frustrating experience. The game seems to be rigged, with the dice rolling in favor of the Al or other players far too often. It doesn't feel random "
games_246_20210313_926198,game,My Talking Tom,Simulation,2021-03-13,2,negative,positive,0.6222,22620,A really good game used to play with my elder daughter now with my younger. I do understand you need ads to keep it free but we cant do much before another one pops up. Have wait 30 seconds which seems like ages with a 2
games_139_20230904_754670,game,Free Fire MAX,Action,2023-09-04,4,positive,negative,-0.8601,21034,"I have no issues with the game. It is also my favourite game. Graphics are good, gameplay and sounds are also good. But, I rate it 4 star because after ‘OB41’ update the damage indicator turns yellow while giving headsho"
games_139_20250105_751312,game,Free Fire MAX,Action,2025-01-05,1,negative,positive,0.6908,20660,"I have been playing this game since 3 to 4 year. But after this update there are too many bugs come in the game and I always face ""Network issues"". I have a good speed of my network but in this game it will not work, whe"
games_15_20250125_498332,game,Ludo King®,Board,2025-01-25,1,negative,positive,0.5152,20200,"Ludo gameplay is engaging, but the frequent lag issues are frustrating. Despite having a high-speed WiFi connection, the game often freezes, causing players to lose their turn unfairly. This affects the overall experienc"
games_277_20220627_1019690,game,My Talking Angela 2,Simulation,2022-06-27,1,negative,positive,0.7608,19524,"I've been playing this game for 2 years. Sure, it can be fun. It TOTALLY needs an upgrade. For instance, the travel needs to interact and we need to get more stuff. The stores need more areas and easy,medium,and hard thi"
games_15_20190502_498711,game,Ludo King®,Board,2019-05-02,1,negative,positive,0.5574,18445,"The game and interface are great and addictive. But the biggest problem is that the moves are predictable and not random. If you play enough games(I played 60-70), you can pretty much predict some crucial dice outcomes. "
games_277_20240411_1023791,game,My Talking Angela 2,Simulation,2024-04-11,5,positive,negative,-0.4781,17790,"I really enjoy playing I but I kinda wish there were more clothing options because her closet is very limited. I don't like that you need to watch an ad or pay for some of the hair, clothes and makeup then only get to us"
games_139_20241226_751324,game,Free Fire MAX,Action,2024-12-26,1,negative,positive,0.751,17408,"Fan of Old version. Not able to adapt to this. Played it first time in 2018, it was smooth, no extra things & minute character bonuses. Fair game for everyone. It changed lot, today. Adding so many features it started to"
apps_141_20250112_360132,app,Google Play Games,Entertainment,2025-01-12,1,negative,positive,0.802,17340,I'm trying to join my daughter. Kids accounts can't use this. I don't understand why? It's just to save progress and compare achievemts there seema to be bo social messaging aspect. Cliffs.. should be available for kids.
games_277_20250127_1022689,game,My Talking Angela 2,Simulation,2025-01-27,4,positive,negative,-0.9372,15986,"Really good game and there are lots of things to do, but the 3 things that make me a little ticked are 1, the ads. THEY ARE SO ANNOYING and to get literally anything, you either have to use coins or watch a bunch of ads."
games_139_20240124_754571,game,Free Fire MAX,Action,2024-01-24,4,positive,negative,-0.3739,15636,"Game is good I have played since 2017 when it came, But several times when I play there's a glitch which is annoying. So what happened is when I came after playing several times once a month, I can't start a match even t"
apps_175_20231023_382752,app,Alibaba.com - B2B marketplace,Shopping,2023-10-23,2,negative,positive,0.8647,15614,"The items are great, but when I click on one of the variation options and add enough that I more than satisfy the minimum requirement, then press the ""Send inquiry"" button. it just shows a black screen and I have to can'"
games_139_20250219_751318,game,Free Fire MAX,Action,2025-02-19,1,negative,positive,0.9325,15048,"It is honestly way too frustration with all the characters and items that have the super fast healing abilities and all that. Honestly healing is totally fine and characters having that ability is cool too , but the heal"
games_139_20240320_754790,game,Free Fire MAX,Action,2024-03-20,4,positive,negative,-0.6928,14672,"The best game I had ever played in my life. When I first started it in 2021 it was really good. The gameplay, exclusive items literally Everything! But now, its not worth it. The rare costumes, characters and weapon skin"
games_277_20220921_1019689,game,My Talking Angela 2,Simulation,2022-09-21,1,negative,positive,0.7706,14549,"This app has become very glitchy recently. It lags and skips unexpectedly when trying to use items or click on certain areas. (Yes, I turned the app and my phone off and on again). This causes a player to click in unexpe"
games_116_20240127_665616,game,Worms Zone .io - Hungry Snake,Action,2024-01-27,4,positive,negative,-0.9283,14458,I like the game but it has a few bugs. Even if I don't want to speed up it happens automatically and I loose my points sometimes or just the worm gets killed :< . The ads again. That's a problem. Whenever I don't want to
games_15_20240110_499169,game,Ludo King®,Board,2024-01-10,1,negative,positive,0.8707,14233,"Worst experience it is absolutely baised game, if you have more coins then your opponent then you rarely win. It gives only 1,2,3 and Max 4 maximum time and 5 and 6 rarely. But the opponent gets double 6, 5, 4 maximum an"
games_246_20220125_926240,game,My Talking Tom,Simulation,2022-01-25,2,negative,positive,0.6808,14183,I just unistalled all talking tom and friends games. I downloded them on my phone for my sister for when I need a break from her. Yet I dont get a break because theres so many ads that she comes up to me like evey two mi
games_139_20240611_754995,game,Free Fire MAX,Action,2024-06-11,4,positive,negative,-0.9661,13665,So better game . I am playing this since 2017 but there is one glitch from starting and no one has ever said about it. This is when you are standing by a wall your gun comes out and can be located by enemies. Also enemie
games_15_20231028_499180,game,Ludo King®,Board,2023-10-28,1,negative,positive,0.3912,12966,"I have a complaint regarding Ludo where the tokens don't move correctly, can't strike opponent's tokens, and don't reward winnings properly."" The online experience is very bad.it is good to play offline. The online versi"
games_18_20221224_514954,game,Dream League Soccer 2025,Sports,2022-12-24,2,negative,positive,0.7285,12921,"It was really awesome, amazing and exciting game... But this latest update has ruined everything! I really am enjoying the harder and more ruthless gameplay... The advertisements are ruining the experience! The ads that "
games_15_20220327_499472,game,Ludo King®,Board,2022-03-27,2,negative,positive,0.8481,12553,"Though i love using this game only with friends , They mostly try to make win those contestants who have more coins relatively while playing online with strangers. It seems like they already have a fixed winner . n voice"
games_277_20231005_1020739,game,My Talking Angela 2,Simulation,2023-10-05,2,negative,positive,0.8316,12419,"I love this game, but I got experienced some bugs such as every time that I completed the Focus and Flow in Martial Arts Studio, the app keeps stopping. I hope you will fix this as soon as possible. Thank you for underst"
games_139_20231013_754773,game,Free Fire MAX,Action,2023-10-13,4,positive,negative,-0.2384,12368,"It's the best battle royale game on the market. It's one of the few battle royales that has minimised the rng that comes with battle royales, it's the most unique playing and the most fast paced. And it's the only game t"
games_123_20210414_695925,game,Lords Mobile: Kingdom Wars,Strategy,2021-04-14,4,positive,negative,-0.7785,12340,"Lords mobile is my favorite game. It's a real time, tower defense, strategy game. But its unlike any game I've played in these categories before, it stands out with its unique gameplay and extras that add to the fun of t"
games_277_20221116_1019701,game,My Talking Angela 2,Simulation,2022-11-16,1,negative,positive,0.7798,12054,"Way too many ads. I open a new screen? Ad. I close a screen? Ad. I want something? Ad (or real money purchase). The interface is full of ads and in game purchases you have one to three free options, almost everything els"
games_277_20230617_1020710,game,My Talking Angela 2,Simulation,2023-06-17,2,negative,positive,0.3506,11818,"The game is nice and cute, but at the same time confusing. I don't know if it's an error or bug but sometimes the game itself is malfunctioning, especially in the mini game in mini map, in the music building, it suddenly"
apps_141_20190428_360914,app,Google Play Games,Entertainment,2019-04-28,1,negative,positive,0.204,11659,"i couldn't open play games, it continuously tells that play service is updating, whereas my play service is up to date ,i cant even play any games which i have saved in play games. This problem is getting worse day by da"
games_139_20250303_755131,game,Free Fire MAX,Action,2025-03-03,5,positive,negative,-0.3965,11449,"It's a very nice game, quite addictive ,very good graphics, can play with friends or alone but sometimes there are glitches and there are hackers too, sometimes it's like you are shooting someone in game but it doesn't d"
apps_175_20230221_392111,app,Alibaba.com - B2B marketplace,Shopping,2023-02-21,5,positive,negative,-0.6712,11222,"It's a very great app, my little suggestion is that, in order to spot for fraudulent activities, suppliers who usually expect a new customer to perform transactions and payment outside the app must be spotted and blocked"
games_104_20220701_643282,game,WorldBox - Sandbox God Sim,Simulation,2022-07-01,4,positive,negative,-0.4749,11095,"I really like this game. The challenges are not too easy, but they're not impossible either which i like, and I don't think there are too many cars. although sometimes there's 4 cars in each lane at the same time which i"
games_139_20241211_751373,game,Free Fire MAX,Action,2024-12-11,1,negative,positive,0.7717,11038,"I’ve been playing this game for six years, and the first three years were amazing. However, the game has gone downhill with repetitive events and poorly designed, unbalanced characters that ruin the experience. The graph"
games_50_20200725_584216,game,Robbery Bob 2: Double Trouble,Adventure,2020-07-25,1,negative,positive,0.2732,10926,It was one of the worst game ever in my life. It's first version is the best game ever in my life and my favourite too but I completed it making all the levels perfect. But in the hauntington level they are just stealing
games_15_20240817_499380,game,Ludo King®,Board,2024-08-17,2,negative,positive,0.7743,10782,"I like this app. It Passes time and keeps one entertained. I would've given it 5 stars, but the dice isn't random.. How do I tell? I've memorised some of its common patterns. Another issue is the network issue, when my f"
games_246_20221027_929218,game,My Talking Tom,Simulation,2022-10-27,5,positive,negative,-0.8985,10768,This game has helped me so much! I get anxiety/ panic attacks almost every night and I just jump on talking tom and start playing the games and it helps me calm down. The only downside of it is that.. when tom gets to sl
games_104_20240316_641261,game,WorldBox - Sandbox God Sim,Simulation,2024-03-16,2,negative,positive,0.9831,10709,"Really great graphics with nice bikes to ride but progress is very very slow and levels in the end are extremely difficult, almost impossible even with the best bike fully upgraded. Kudos to anyone who can actually finis"
games_246_20200726_926199,game,My Talking Tom,Simulation,2020-07-26,2,negative,positive,0.9002,10277,"Great game until recently. The reward boxes never appear. Nevermind the double awards ones. Plus, what is this tap-a-tom thing? I got a notification and tried it- all I ended up doing is beating up my cat! So then I thou"
apps_175_20240705_392063,app,Alibaba.com - B2B marketplace,Shopping,2024-07-05,5,positive,negative,-0.9149,10250,App works well for looking and purchasing products. However when something goes wrong getting a customer service agents help is very difficult. The AI assistant in my view is useless ! very frustrating Tring to get your 
games_246_20230325_926211,game,My Talking Tom,Simulation,2023-03-25,2,negative,positive,0.9442,10184,"I do not have any money becuase I am homeless in Houston, Texas. So with the option to watch an AD and recieve a chance to Spin the wheel for a prize, I like that. But, the game NEVER gives you anything like 1000 coins o"
games_246_20201030_926212,game,My Talking Tom,Simulation,2020-10-30,2,negative,positive,0.5005,10163,I wanted to install the game again and immediately installed it... I used to love this game and now there afe THREE packages you can click to earn something by watching an ad and normally I don't mind that but they won't
apps_141_20210608_362527,app,Google Play Games,Entertainment,2021-06-08,2,negative,positive,0.9024,10113,"I love being able to download apps for free. If I ever did have issues it was due to a coding issue, Not Google. My issue with Google Play is that I can't add funds to my account for some reason. For years now, or longer"
games_50_20190527_585222,game,Robbery Bob 2: Double Trouble,Adventure,2019-05-27,2,negative,positive,0.7506,9859,"good game, bad controls. this game is actually good, but the movements, sensitivity and controls are bit laggy. the game interface needs to be refined, it's slow and it's also difficult to maneuver your player. all these"
games_139_20220626_755016,game,Free Fire MAX,Action,2022-06-26,4,positive,negative,-0.4854,9750,Nice game play but it is sometimes painful to not be able to use hands to climb on containers...it will be helpful to add this option pls ...when we fall off we are force to return to a lower platform that is at a jump h
apps_141_20181213_359801,app,Google Play Games,Entertainment,2018-12-13,1,negative,positive,0.8591,9598,"Having an issue where it just doesn't run on my phone, just keep on loading. I tried everything from changing to other ISPs, updating to newest version, forced stop, reinstalling, and even clear data. It doesn't let me l"
games_15_20240630_499120,game,Ludo King®,Board,2024-06-30,1,negative,positive,0.3917,9411,"This game has a manipulative dice .When we have many coins , it gives bad numbers....🤬 I mean I lost 7 times in a row! Is it possible? The code of algorithm is written to make people purchase coins. Such a waste of 72 MB"
games_246_20221114_925215,game,My Talking Tom,Simulation,2022-11-14,1,negative,positive,0.5863,9398,I wont give 1 star if i dont have to. Full of ads. Boring. Concept of this app is nice. But toooooo.... many ads made this app just dustbin. I couldn't use continuously 30 sec without disturbing ads. Sometimes you can't 
games_246_20200904_925197,game,My Talking Tom,Simulation,2020-09-04,1,negative,positive,0.8012,9395,"Waaaay too many ads. My toddler can hardly play the game without constant interruptions. There are present/gift box objects in game that look like fun to my kid, so she taos them, but they're really just buttons to watch"
games_277_20240329_1019723,game,My Talking Angela 2,Simulation,2024-03-29,1,negative,positive,0.8779,9208,"Hi, while I love the game, there are some problems with it. First, there's no new events to collect clothing or anything. All I'm doing is collecting stickers for the cosmic event for who knows how long for the same priz"
apps_214_20250108_439571,app,TikTok Studio,Video Players & Editors,2025-01-08,1,negative,positive,0.5376,9155,One of the worst experiences ever! When I try to upload a profile photo the app says I have edited my profile too many times today! When I try to create a custom user name the customization saves but when I navigate back
games_15_20230717_499117,game,Ludo King®,Board,2023-07-17,1,negative,positive,0.9698,8993,"Worst experience it is absolutely baised game, if you have more coins then your opponent then you rarely win. It gives only 1,2,3 and Max 4 maximum time and 5 and 6 rarely. But the opponent gets double 6, 5, 4 maximum an"
apps_175_20210504_380184,app,Alibaba.com - B2B marketplace,Shopping,2021-05-04,1,negative,positive,0.6792,8865,"Sellers always change the price! The ad may list an item for $138 but when you go to order it they say the price is $800. I have had multiple experiences like this on Alibaba. Stick to taobao, AliExpress, eBay or Amazon,"
apps_175_20220903_388821,app,Alibaba.com - B2B marketplace,Shopping,2022-09-03,4,positive,negative,-0.6745,8592,There is a bug that needs fixing? Everytime I try to search a product up it would show me repetitive results with products totally off topic with the search name. Example types in poly fabric and the results would show c
games_17_20240712_512254,game,eFootball™,Sports,2024-07-12,4,positive,negative,-0.8542,8568,"Playing this game for more than 4 years now. Every update changes the overall gameplay. Although i got used to the controls quite quickly on the previous ones, but this one is the worst update ever. The player movement a"
games_139_20250228_751123,game,Free Fire MAX,Action,2025-02-28,1,negative,positive,0.4404,8425,"Free Fire is the worst game for me because, while playing CS rank with one character, after finishing the game and returning to the lobby, I started a new CS rank match, and my character automatically switched to another"
games_17_20250205_511325,game,eFootball™,Sports,2025-02-05,4,positive,negative,-0.3104,8391,"The game is the best video game ever the graphics is very good the game is just excellent, but just small issues with the controller whenever you want to pass your ball, it goes to the opponent player and no good statist"
apps_141_20200910_362831,app,Google Play Games,Entertainment,2020-09-10,2,negative,positive,0.7269,8391,The entirety of google play needs to be revamped. False star ratings as far as the eye can see. You see 4.4 stars until you open the reviews and almost all the games reviewers are rating 1 star. Games are insanely overlo
games_17_20241012_512327,game,eFootball™,Sports,2024-10-12,5,positive,negative,-0.6229,8380,"This game is on streak,, one of the best soccer game in terms of graphics, players, matches, commentary, performance and more, but some of the kits are not perfectly designed, for example the Manchester City jersey is no"
games_139_20240203_752349,game,Free Fire MAX,Action,2024-02-03,2,negative,positive,0.6059,8373,"""Free Fire offers fast-paced gameplay with a variety of weapons and characters, but it's not without its issues. Players may encounter bugs and glitches, and there's a concern about cheating and hacking. Customer support"
games_246_20221030_925219,game,My Talking Tom,Simulation,2022-10-30,1,negative,positive,0.6408,8295,"Ads ruin the experience. This is unfortunate because the ""gameplay"" is something my toddler LOVES. Every screen has multiple traps for your little one to click on that brings them to something else to download or buy. Li"
games_275_20250328_1012701,game,Snake.io - Fun Snake .io Games,Action,2025-03-28,4,positive,negative,-0.6034,8256,"Good game , it's generally fun but it can be a bit competitive to casual players especially the infamous ranked some are Ai and cheaters. Even the unranked is not as enjoyable as it used to be, there are more bots and ch"
games_116_20201226_665583,game,Worms Zone .io - Hungry Snake,Action,2020-12-26,4,positive,negative,-0.5423,8208,"The game is great, runs smooth and such. My only issue is that when I finally get to top spot, I die by running into something invisible. If it only happened occasionally it wouldn't be a big deal, but it happens every t"
apps_177_20240921_409782,app,Talkie: Creative AI Community,Entertainment,2024-09-21,1,negative,positive,0.9418,8199,"This app used to be really cool with its art style, the ability to create your own character, and more, but now, after a short conversation, they all become the same with ""can I ask you a question?"" And it's annoying sin"
games_116_20210320_662681,game,Worms Zone .io - Hungry Snake,Action,2021-03-20,1,negative,positive,0.5374,7810,Cool except it keeps ripping me off for coins. I set my skin yet when i come bsck later its back to the old skin and my 100 coind are still gone. Very very annoying as coins are so hard to get. Well it happened 2 more ti
apps_214_20241022_439593,app,TikTok Studio,Video Players & Editors,2024-10-22,1,negative,positive,0.9269,7705,This App isn't the same as tiktok it doesn't have the fyp and you can't scroll like you can on tiktok and it doesn't have a personal page that you can manage and it doesn't seem like there videos are up to date I really 
games_18_20210521_515092,game,Dream League Soccer 2025,Sports,2021-05-21,2,negative,positive,0.8459,7574,"Buying new players and facility upgrades is next to impossible thanks to the pittance you're paid! It's infuriating because aside from that, this is the best football game you can play on mobile. Despite the fact that sc"
games_17_20250205_508328,game,eFootball™,Sports,2025-02-05,1,negative,positive,0.4951,7493,"When you increase the difficulty of the game to superstar or legend..... It doesn't make the game harder, it just makes your players less effective. For instance all your forward passes would be intercepted, tackling the"
games_139_20220615_755031,game,Free Fire MAX,Action,2022-06-15,4,positive,negative,-0.8499,7364,I honestly can't tell if I'm playing against bots or people. Extremely confusing GUI. It says I was awarded some kind of sniper rifle for 24 hours but where the heck is it? I can't find any of the items I've been so call
games_18_20230827_515093,game,Dream League Soccer 2025,Sports,2023-08-27,2,negative,positive,0.5023,7266,It's became a terrific game .I downloaded it after 1 year and now it's just trash. The shooting buttons suddenly stops working at the middle of the match and you get cards for a simple foul but when the opponent does it 
games_246_20240612_925231,game,My Talking Tom,Simulation,2024-06-12,1,negative,positive,0.2383,7220,"The greediest app I've ever seen in my life. I mean it's OK for a freemium app to throw an ad every once in while, but not every second!! If the target audience were adults, that would be one thing, but don't even think "
games_15_20230217_498326,game,Ludo King®,Board,2023-02-17,1,negative,positive,0.6077,7206,"Not at all random. One example? Played 100+ games and never once rolled three consecutive 6s. If it was truly random, it would have happened at least once in that sample size. Also, many more times than not: if you're wi"
apps_214_20240727_440640,app,TikTok Studio,Video Players & Editors,2024-07-27,2,negative,positive,0.4791,7138,Automatically shortens videos if you add in multiple things. Very hard to adjust the video to actual length and it will revert back to shortened length if you change the music. Also added in music and it started halfway 
games_15_20220510_498744,game,Ludo King®,Board,2022-05-10,1,negative,positive,0.867,6923,"Hi, I want to play this game but I can't! The ads selected play and then I can't leave the ad! The 'X' button is not functional. However, when I click 'install' I get taken straight to Google Play to download the game! I"
games_15_20201220_502721,game,Ludo King®,Board,2020-12-20,5,positive,negative,-0.9128,6896,"1. Very useful app for playing games with family members or with a friends. 2. But so many times we see the advertise but at the time of getting coins, app says ""something wrong"". This is big drawback of the app. At time"
apps_141_20201107_368576,app,Google Play Games,Entertainment,2020-11-07,4,positive,negative,-0.6125,6876,"It's pretty standard as far as game account apps go, so I have no reason, in that regard, but to give it full stars. That said, I docked an entire star because I keep getting a popup saying the app needs immediate attent"
games_139_20230116_752831,game,Free Fire MAX,Action,2023-01-16,2,negative,positive,0.34,6828,It's a great game for entertainment but it's items are expensive. Some people can't afford it's rates of topups . But my experience of playing is great.i've been playing this since 2 years but I've topep it up twice in t
games_163_20200608_841289,game,Hungry Shark Evolution,Action,2020-06-08,1,negative,positive,0.2061,6824,"It is really great to see the new shark! but the price of the baby sharks is so high that many of us cant afford it. And if the sea is expanded and more dimension like the mini titanic level is added, the game will be fa"
games_15_20190503_500293,game,Ludo King®,Board,2019-05-03,2,negative,positive,0.5305,6812,it seems like they already decide who should be the winner... and they give us numbers according to thier plans... i have started to dislike this game... Even when all i need is one... the opponents win after moving all 
apps_141_20200828_359556,app,Google Play Games,Entertainment,2020-08-28,1,negative,positive,0.8625,6738,"It's great if you want to play your game on multiple devices. The con, it doesn't automatically sign in to your saved game when you log in. I have to manually do it after the game loads, then the game has to reload, and "
games_15_20200807_498709,game,Ludo King®,Board,2020-08-07,1,negative,positive,0.8934,6722,"The algorithm is not right. Dice rolls are predictable, and it always seem to favour a couple of players toward the end of the game. It can be me, if I am lucky enough, but mostly its the others. A number of options are "
games_278_20230530_1028689,game,Kick the Buddy: Second Kick,Action,2023-05-30,5,positive,negative,-0.3275,6708,In my opinion this is better than the first one by far. 1 the reality of this game is unreal. 2 the game has so much new weapons to destroy Buddy with. 3 overall one of the best games I've played. But there is some issue
games_17_20240125_512177,game,eFootball™,Sports,2024-01-25,4,positive,negative,-0.5113,6527,The game is super realistic and fun to play. The game is so wholesome but the actual problem is completely related to online matches. 1. The matchmaking time in online matches is too long and it's boring to wait for the 
apps_175_20220612_380041,app,Alibaba.com - B2B marketplace,Shopping,2022-06-12,1,negative,positive,0.5876,6466,App barely loads and isn't worth getting. Alibaba itself has far to much going on and needs to take a few steps back and make it more user friendly. I'm lost in communications with companies at the best of times. There i
games_18_20230712_515144,game,Dream League Soccer 2025,Sports,2023-07-12,2,negative,positive,0.9282,6439,The game play is excellent as always but the transfer market needs to be changed. If the developers are able to bring the search option in the transfer menue back it would really be appreciated and I would also like to a
games_18_20250327_513353,game,Dream League Soccer 2025,Sports,2025-03-27,1,negative,positive,0.9636,6429,"The creators of this game don't know how to make a game that is fair. I've been playing this game for years and with every upgrade, the graphics and commentary improves but the actual gameplay gets worse. Because the dev"
apps_98_20240928_290357,app,YouTube TV: Live TV & more,Entertainment,2024-09-28,4,positive,negative,-0.6468,6393,"Finally the ability to go between two channels!Now they need to fix the volume issue as the volume on commercials is very high compared to regular programimg. This is very annoying and I have to mute the commercials, esp"
games_123_20210601_697196,game,Lords Mobile: Kingdom Wars,Strategy,2021-06-01,5,positive,negative,-0.9333,6367,"Exciting and challenging game. It trains your mental capacity how to deal with the enemy using strategies and techniques in the midst of war. Your stronghold against the enemy should be steady, fast and the agility shoul"
