period_start,text_sentiment_label,review_count,average_rating
2010-04-19,neutral,3,1.6667
2010-04-19,positive,3,1.3333
2010-04-26,neutral,8,2.375
2010-04-26,positive,6,3.0
2010-04-26,negative,1,3.0
2010-05-03,positive,6,2.3333
2010-05-03,neutral,5,3.0
2010-05-10,neutral,11,2.1818
2010-05-10,positive,11,2.8182
2010-05-10,negative,4,2.0
2010-05-17,positive,9,2.3333
2010-05-17,negative,4,2.5
2010-05-17,neutral,4,2.25
2010-05-24,neutral,8,2.25
2010-05-24,positive,6,2.5
2010-05-24,negative,4,1.5
2010-05-31,neutral,4,3.0
2010-05-31,positive,3,2.3333
2010-06-07,positive,11,2.7273
2010-06-07,neutral,8,2.5
2010-06-07,negative,6,1.5
2010-06-14,positive,4,2.0
2010-06-14,neutral,3,1.3333
2010-06-14,negative,2,3.0
2010-06-21,positive,7,2.4286
2010-06-21,negative,4,2.25
2010-06-21,neutral,4,1.75
2010-06-28,positive,7,1.8571
2010-06-28,neutral,5,2.0
2010-06-28,negative,2,2.0
2010-07-05,neutral,11,2.0909
2010-07-05,positive,5,2.6
2010-07-05,negative,1,1.0
2010-07-12,positive,7,2.7143
2010-07-12,neutral,6,2.6667
2010-07-12,negative,5,1.6
2010-07-19,positive,11,2.9091
2010-07-19,neutral,10,2.4
2010-07-19,negative,1,3.0
2010-07-26,positive,10,2.3
2010-07-26,neutral,8,1.875
2010-07-26,negative,7,1.5714
2010-08-02,neutral,13,1.7692
2010-08-02,negative,11,1.6364
2010-08-02,positive,10,1.9
2010-08-09,negative,8,1.625
2010-08-09,positive,8,2.5
2010-08-09,neutral,5,2.2
2010-08-16,positive,14,2.2857
2010-08-16,neutral,8,2.375
2010-08-16,negative,5,1.8
2010-08-23,positive,9,1.8889
2010-08-23,negative,4,2.0
2010-08-23,neutral,4,2.5
2010-08-30,positive,14,2.3571
2010-08-30,neutral,8,2.125
2010-08-30,negative,3,1.6667
2010-09-06,positive,11,2.5455
2010-09-06,negative,8,1.5
2010-09-06,neutral,8,2.0
2010-09-13,neutral,6,2.0
2010-09-13,positive,5,2.6
2010-09-13,negative,3,1.6667
2010-09-20,positive,7,2.4286
2010-09-20,neutral,6,1.8333
2010-09-20,negative,4,1.25
2010-09-27,neutral,16,1.75
2010-09-27,positive,14,2.3571
2010-09-27,negative,8,1.625
2010-10-04,positive,6,2.3333
2010-10-04,neutral,5,2.0
2010-10-11,neutral,6,2.0
2010-10-11,negative,5,2.4
2010-10-11,positive,3,1.3333
2010-10-18,neutral,8,2.125
2010-10-18,positive,5,2.8
2010-10-18,negative,3,1.3333
2010-10-25,negative,3,1.6667
2010-10-25,positive,3,2.0
2010-10-25,neutral,2,2.0
2010-11-01,neutral,7,1.8571
2010-11-01,positive,5,2.8
2010-11-01,negative,4,2.75
2010-11-08,neutral,4,2.0
2010-11-08,positive,3,2.0
2010-11-08,negative,1,3.0
2010-11-15,positive,6,2.6667
2010-11-15,negative,4,2.0
2010-11-15,neutral,3,3.0
2010-11-22,negative,5,1.8
2010-11-22,neutral,5,1.4
2010-11-22,positive,1,2.0
2010-11-29,positive,11,2.1818
2010-11-29,negative,6,2.3333
2010-11-29,neutral,5,2.4
2010-12-06,neutral,9,1.6667
2010-12-06,positive,8,2.375
2010-12-06,negative,3,1.3333
2010-12-13,neutral,14,1.7857
2010-12-13,positive,4,2.5
2010-12-13,negative,3,2.0
2010-12-20,negative,7,1.1429
2010-12-20,neutral,3,1.0
2010-12-20,positive,2,2.5
2010-12-27,positive,14,2.6429
2010-12-27,neutral,11,2.2727
2010-12-27,negative,1,3.0
2011-01-03,neutral,9,1.7778
2011-01-03,positive,8,2.375
2011-01-03,negative,2,1.0
2011-01-10,neutral,11,1.4545
2011-01-10,negative,8,1.625
2011-01-10,positive,8,2.5
2011-01-17,positive,10,2.5
2011-01-17,negative,9,1.7778
2011-01-17,neutral,7,2.1429
2011-01-24,neutral,8,1.625
2011-01-24,positive,7,2.7143
2011-01-24,negative,3,2.6667
2011-01-31,neutral,19,1.4737
2011-01-31,positive,8,2.375
2011-01-31,negative,7,1.1429
2011-02-07,neutral,11,1.6364
2011-02-07,negative,5,1.4
2011-02-07,positive,5,2.8
2011-02-14,neutral,8,2.125
2011-02-14,negative,5,1.6
2011-02-14,positive,3,3.0
2011-02-21,neutral,12,2.0833
2011-02-21,negative,7,1.7143
2011-02-21,positive,7,2.7143
2011-02-28,neutral,12,2.3333
2011-02-28,positive,5,2.6
2011-02-28,negative,3,1.6667
2011-03-07,negative,5,1.4
2011-03-07,neutral,5,1.6
2011-03-07,positive,4,2.5
2011-03-14,neutral,5,1.8
2011-03-14,positive,5,2.6
2011-03-14,negative,4,1.5
2011-03-21,negative,4,1.5
2011-03-21,neutral,4,1.75
2011-03-28,neutral,10,1.4
2011-03-28,negative,2,1.5
2011-03-28,positive,2,1.5
2011-04-04,neutral,12,1.4167
2011-04-04,positive,8,1.875
2011-04-04,negative,3,1.3333
2011-04-11,neutral,13,1.8462
2011-04-11,positive,9,2.6667
2011-04-11,negative,1,2.0
2011-04-18,neutral,9,1.6667
2011-04-18,positive,2,2.0
2011-04-25,positive,8,2.75
2011-04-25,neutral,6,1.8333
2011-04-25,negative,4,1.75
2011-05-02,neutral,5,1.6
2011-05-02,positive,4,2.0
2011-05-02,negative,2,1.5
2011-05-09,positive,6,2.1667
2011-05-09,negative,5,1.0
2011-05-09,neutral,5,2.2
2011-05-16,positive,5,2.0
2011-05-16,neutral,4,1.75
2011-05-16,negative,2,2.5
2011-05-23,neutral,6,2.0
2011-05-23,negative,2,3.0
2011-05-23,positive,2,3.0
2011-05-30,neutral,3,1.0
2011-05-30,negative,2,1.5
2011-05-30,positive,1,2.0
2011-06-06,neutral,10,1.7
2011-06-06,positive,4,2.5
2011-06-06,negative,2,2.0
2011-06-13,neutral,9,1.6667
2011-06-13,positive,4,2.25
2011-06-13,negative,2,1.5
2011-06-20,neutral,7,1.5714
2011-06-20,positive,5,2.4
2011-06-20,negative,3,2.3333
2011-06-27,neutral,8,2.125
2011-06-27,positive,6,2.6667
2011-06-27,negative,5,1.8
2011-07-04,neutral,6,2.0
2011-07-04,positive,4,1.5
2011-07-04,negative,3,2.0
2011-07-11,neutral,3,1.3333
2011-07-11,positive,3,2.0
2011-07-11,negative,2,2.5
2011-07-18,neutral,8,1.5
2011-07-18,positive,6,2.5
2011-07-18,negative,2,1.5
2011-07-25,neutral,4,1.75
2011-07-25,negative,3,1.6667
2011-07-25,positive,2,3.0
2011-08-01,neutral,6,1.3333
2011-08-01,positive,3,2.6667
2011-08-01,negative,1,2.0
2011-08-08,positive,7,2.2857
2011-08-08,neutral,5,1.4
2011-08-08,negative,1,1.0
2011-08-15,neutral,6,1.3333
2011-08-15,positive,6,2.0
2011-08-15,negative,4,1.75
2011-08-22,neutral,13,1.9231
2011-08-22,positive,6,2.3333
2011-08-22,negative,3,2.6667
2011-08-29,neutral,7,2.5714
2011-08-29,negative,2,3.0
2011-08-29,positive,1,1.0
2011-09-05,positive,4,2.5
2011-09-05,negative,3,1.3333
2011-09-05,neutral,1,1.0
2011-09-12,neutral,5,1.6
2011-09-12,positive,5,1.8
2011-09-12,negative,4,1.75
2011-09-19,neutral,8,2.125
2011-09-19,positive,7,2.2857
2011-09-19,negative,2,2.0
2011-09-26,neutral,10,2.3
2011-09-26,positive,6,2.5
2011-09-26,negative,2,2.0
2011-10-03,negative,6,1.1667
2011-10-03,neutral,2,1.5
2011-10-03,positive,2,2.5
2011-10-10,neutral,7,2.2857
2011-10-10,negative,1,2.0
2011-10-17,positive,7,2.2857
2011-10-17,negative,3,2.3333
2011-10-17,neutral,3,1.6667
2011-10-24,positive,4,2.75
2011-10-24,negative,2,1.5
2011-10-24,neutral,2,2.5
2011-10-31,neutral,6,1.8333
2011-10-31,positive,2,2.5
2011-10-31,negative,1,1.0
2011-11-07,neutral,2,1.5
2011-11-07,positive,1,3.0
2011-11-14,neutral,3,1.0
2011-11-14,positive,3,2.6667
2011-11-14,negative,1,2.0
2011-11-21,positive,6,2.1667
2011-11-21,negative,1,1.0
2011-11-21,neutral,1,1.0
2011-11-28,neutral,5,1.2
2011-11-28,positive,2,1.5
2011-11-28,negative,1,2.0
2011-12-05,neutral,9,1.7778
2011-12-05,negative,3,1.0
2011-12-05,positive,2,1.0
2011-12-12,neutral,9,2.1111
2011-12-12,positive,7,2.1429
2011-12-12,negative,1,3.0
2011-12-19,positive,6,2.1667
2011-12-19,neutral,5,1.4
2011-12-19,negative,4,1.0
2011-12-26,positive,4,2.0
2011-12-26,negative,3,1.6667
2011-12-26,neutral,2,1.5
2012-01-02,positive,4,2.0
2012-01-02,neutral,3,1.6667
2012-01-02,negative,1,2.0
2012-01-09,neutral,7,1.8571
2012-01-09,positive,5,2.4
2012-01-16,neutral,5,1.8
2012-01-16,negative,1,1.0
2012-01-23,negative,8,1.75
2012-01-23,neutral,7,1.4286
2012-01-23,positive,5,1.4
2012-01-30,neutral,9,1.5556
2012-01-30,negative,5,1.8
2012-01-30,positive,4,1.0
2012-02-06,negative,11,1.6364
2012-02-06,positive,4,2.0
2012-02-06,neutral,1,1.0
2012-02-13,neutral,9,1.0
2012-02-13,positive,6,2.1667
2012-02-13,negative,4,1.25
2012-02-20,positive,9,2.7778
2012-02-20,neutral,6,1.5
2012-02-20,negative,4,1.25
2012-02-27,neutral,13,1.5385
2012-02-27,positive,7,1.1429
2012-02-27,negative,2,2.0
2012-03-05,neutral,11,1.9091
2012-03-05,positive,11,2.8182
2012-03-05,negative,7,1.7143
2012-03-12,positive,91,1.956
2012-03-12,negative,80,1.6
2012-03-12,neutral,59,2.0339
2012-03-19,positive,24,1.875
2012-03-19,negative,17,1.2941
2012-03-19,neutral,16,1.875
2012-03-26,neutral,12,1.9167
2012-03-26,positive,8,2.25
2012-03-26,negative,3,1.0
2012-04-02,neutral,14,1.9286
2012-04-02,positive,6,2.5
2012-04-02,negative,5,1.2
2012-04-09,negative,8,1.875
2012-04-09,positive,6,1.8333
2012-04-09,neutral,3,1.3333
2012-04-16,negative,6,1.8333
2012-04-16,positive,5,2.2
2012-04-16,neutral,4,2.0
2012-04-23,neutral,6,1.6667
2012-04-23,positive,5,2.6
2012-04-23,negative,3,1.3333
2012-04-30,positive,7,2.5714
2012-04-30,neutral,5,1.6
2012-05-07,negative,13,1.3077
2012-05-07,positive,11,1.8182
2012-05-07,neutral,9,2.1111
2012-05-14,neutral,11,1.5455
2012-05-14,positive,10,2.2
2012-05-14,negative,3,2.3333
2012-05-21,positive,10,2.9
2012-05-21,neutral,7,1.7143
2012-05-21,negative,6,1.8333
2012-05-28,positive,7,2.4286
2012-05-28,negative,4,1.5
2012-05-28,neutral,4,1.5
2012-06-04,neutral,9,2.3333
2012-06-04,positive,8,2.0
2012-06-04,negative,3,1.6667
2012-06-11,neutral,14,1.7143
2012-06-11,negative,4,1.25
2012-06-11,positive,4,2.25
2012-06-18,positive,14,2.8571
2012-06-18,neutral,13,2.2308
2012-06-18,negative,4,2.25
2012-06-25,positive,16,2.4375
2012-06-25,neutral,13,2.0769
2012-06-25,negative,4,1.5
2012-07-02,neutral,18,1.8889
2012-07-02,negative,15,1.8667
2012-07-02,positive,13,2.3077
2012-07-09,neutral,13,1.9231
2012-07-09,positive,10,2.5
2012-07-09,negative,3,2.0
2012-07-16,positive,4,2.0
2012-07-16,negative,3,1.3333
2012-07-16,neutral,2,1.0
2012-07-23,positive,18,2.5
2012-07-23,neutral,14,2.0714
2012-07-23,negative,11,1.5455
2012-07-30,neutral,19,2.1053
2012-07-30,negative,8,1.75
2012-07-30,positive,6,2.6667
2012-08-06,positive,13,2.3077
2012-08-06,neutral,10,1.9
2012-08-06,negative,4,2.0
2012-08-13,positive,13,2.6923
2012-08-13,negative,7,2.1429
2012-08-13,neutral,5,1.8
2012-08-20,negative,9,2.0
2012-08-20,neutral,9,1.8889
2012-08-20,positive,4,2.75
2012-08-27,neutral,8,1.5
2012-08-27,positive,7,2.1429
2012-08-27,negative,2,1.5
2012-09-03,neutral,13,1.7692
2012-09-03,positive,11,2.2727
2012-09-03,negative,10,1.5
2012-09-10,neutral,10,1.6
2012-09-10,positive,10,2.3
2012-09-10,negative,8,1.625
2012-09-17,negative,9,1.8889
2012-09-17,positive,8,2.5
2012-09-17,neutral,7,1.7143
2012-09-24,positive,8,2.375
2012-09-24,negative,6,1.8333
2012-09-24,neutral,3,2.0
2012-10-01,positive,14,2.5
2012-10-01,negative,8,2.0
2012-10-01,neutral,6,2.0
2012-10-08,neutral,14,2.2143
2012-10-08,positive,10,2.2
2012-10-08,negative,5,2.2
2012-10-15,neutral,12,1.6667
2012-10-15,negative,9,1.6667
2012-10-15,positive,7,2.4286
2012-10-22,neutral,14,1.5714
2012-10-22,positive,12,2.1667
2012-10-22,negative,5,1.6
2012-10-29,neutral,13,1.8462
2012-10-29,positive,13,2.3077
2012-10-29,negative,4,1.5
2012-11-05,neutral,6,1.8333
2012-11-05,positive,6,3.0
2012-11-05,negative,4,2.25
2012-11-12,neutral,10,1.8
2012-11-12,positive,9,2.7778
2012-11-12,negative,4,1.0
2012-11-19,positive,11,1.9091
2012-11-19,negative,10,1.4
2012-11-19,neutral,8,1.375
2012-11-26,neutral,9,2.0
2012-11-26,negative,8,2.25
2012-11-26,positive,7,2.2857
2012-12-03,positive,12,2.0833
2012-12-03,neutral,7,1.5714
2012-12-03,negative,1,1.0
2012-12-10,neutral,15,1.5333
2012-12-10,positive,5,1.8
2012-12-10,negative,4,1.25
2012-12-17,positive,10,2.6
2012-12-17,negative,6,1.8333
2012-12-17,neutral,5,2.2
2012-12-24,neutral,7,1.8571
2012-12-24,positive,7,2.4286
2012-12-24,negative,3,1.6667
2012-12-31,negative,11,1.9091
2012-12-31,positive,8,2.375
2012-12-31,neutral,7,2.0
2013-01-07,negative,6,2.1667
2013-01-07,neutral,6,2.5
2013-01-07,positive,5,2.8
2013-01-14,positive,11,2.3636
2013-01-14,neutral,6,1.6667
2013-01-14,negative,4,2.0
2013-01-21,neutral,10,1.6
2013-01-21,positive,5,2.2
2013-01-21,negative,4,2.0
2013-01-28,neutral,10,1.6
2013-01-28,negative,5,1.8
2013-01-28,positive,5,1.8
2013-02-04,neutral,10,1.7
2013-02-04,negative,4,1.75
2013-02-04,positive,4,2.5
2013-02-11,negative,12,1.4167
2013-02-11,neutral,11,1.7273
2013-02-11,positive,10,2.2
2013-02-18,neutral,5,2.0
2013-02-18,negative,4,1.0
2013-02-18,positive,3,3.0
2013-02-25,positive,9,2.3333
2013-02-25,neutral,5,1.4
2013-02-25,negative,3,1.6667
2013-03-04,positive,9,2.0
2013-03-04,negative,5,1.4
2013-03-04,neutral,3,2.0
2013-03-11,negative,8,2.0
2013-03-11,positive,5,2.4
2013-03-11,neutral,2,2.0
2013-03-18,positive,266,3.2519
2013-03-18,neutral,154,2.0714
2013-03-18,negative,122,1.541
2013-03-25,positive,162,4.1235
2013-03-25,neutral,47,3.0213
2013-03-25,negative,31,2.0968
2013-04-01,positive,28,4.1786
2013-04-01,neutral,14,3.2143
2013-04-01,negative,8,2.125
2013-04-08,positive,27,3.963
2013-04-08,neutral,14,1.7857
2013-04-08,negative,13,1.4615
2013-04-15,negative,18,1.1111
2013-04-15,neutral,9,2.0
2013-04-15,positive,8,2.375
2013-04-22,neutral,9,1.5556
2013-04-22,positive,6,3.3333
2013-04-22,negative,3,1.3333
2013-04-29,positive,5,2.0
2013-04-29,negative,3,2.3333
2013-04-29,neutral,3,2.3333
2013-05-06,negative,6,1.5
2013-05-06,neutral,3,2.3333
2013-05-06,positive,3,2.6667
2013-05-13,positive,17,2.5882
2013-05-13,negative,7,1.8571
2013-05-13,neutral,4,2.25
2013-05-20,positive,13,2.1538
2013-05-20,neutral,9,1.7778
2013-05-20,negative,5,1.4
2013-05-27,negative,6,1.6667
2013-05-27,neutral,6,1.5
2013-05-27,positive,6,3.0
2013-06-03,neutral,9,2.0
2013-06-03,negative,8,1.75
2013-06-03,positive,4,2.0
2013-06-10,neutral,6,1.6667
2013-06-10,negative,5,2.2
2013-06-10,positive,3,2.6667
2013-06-17,neutral,9,1.5556
2013-06-17,positive,8,2.0
2013-06-17,negative,6,1.1667
2013-06-24,positive,8,2.875
2013-06-24,neutral,7,2.0
2013-06-24,negative,5,1.2
2013-07-01,neutral,12,1.6667
2013-07-01,negative,7,1.8571
2013-07-01,positive,7,2.0
2013-07-08,negative,13,1.3077
2013-07-08,positive,8,2.125
2013-07-08,neutral,5,1.8
2013-07-15,negative,9,1.7778
2013-07-15,neutral,8,1.75
2013-07-15,positive,6,2.3333
2013-07-22,positive,12,1.6667
2013-07-22,neutral,9,2.2222
2013-07-22,negative,6,1.3333
2013-07-29,positive,7,2.4286
2013-07-29,negative,5,1.6
2013-07-29,neutral,3,1.6667
2013-08-05,positive,14,2.4286
2013-08-05,neutral,4,2.0
2013-08-05,negative,2,2.0
2013-08-12,neutral,8,1.625
2013-08-12,negative,6,1.3333
2013-08-12,positive,5,1.6
2013-08-19,negative,4,1.25
2013-08-19,positive,3,3.0
2013-08-19,neutral,2,2.0
2013-08-26,positive,14,2.3571
2013-08-26,neutral,13,1.6154
2013-08-26,negative,5,1.8
2013-09-02,neutral,16,1.75
2013-09-02,positive,11,2.4545
2013-09-02,negative,8,1.625
2013-09-09,positive,13,2.5385
2013-09-09,negative,5,1.6
2013-09-09,neutral,4,1.5
2013-09-16,positive,10,2.5
2013-09-16,negative,7,1.5714
2013-09-16,neutral,5,1.6
2013-09-23,neutral,6,1.5
2013-09-23,negative,3,1.6667
2013-09-23,positive,3,2.3333
2013-09-30,neutral,6,1.6667
2013-09-30,negative,5,2.0
2013-09-30,positive,5,3.0
2013-10-07,positive,10,2.4
2013-10-07,neutral,6,1.8333
2013-10-07,negative,4,1.25
2013-10-14,neutral,10,2.0
2013-10-14,positive,8,2.125
2013-10-14,negative,5,1.4
2013-10-21,positive,7,2.8571
2013-10-21,negative,6,1.1667
2013-10-21,neutral,6,1.3333
2013-10-28,positive,28,3.4643
2013-10-28,negative,14,1.8571
2013-10-28,neutral,12,2.3333
2013-11-04,positive,16,3.25
2013-11-04,neutral,8,1.625
2013-11-04,negative,6,2.0
2013-11-11,positive,26,3.2308
2013-11-11,neutral,17,2.5294
2013-11-11,negative,8,1.75
2013-11-18,positive,20,3.25
2013-11-18,neutral,11,2.6364
2013-11-18,negative,6,1.6667
2013-11-25,positive,15,3.3333
2013-11-25,neutral,10,1.8
2013-11-25,negative,5,2.2
2013-12-02,positive,28,3.0
2013-12-02,neutral,11,2.1818
2013-12-02,negative,8,1.75
2013-12-09,positive,19,3.3684
2013-12-09,negative,8,2.625
2013-12-09,neutral,7,1.2857
2013-12-16,neutral,25,2.2
2013-12-16,positive,22,3.5455
2013-12-16,negative,8,1.25
2013-12-23,positive,28,3.25
2013-12-23,neutral,20,3.0
2013-12-23,negative,7,2.1429
2013-12-30,positive,25,3.08
2013-12-30,neutral,15,2.1333
2013-12-30,negative,8,1.875
2014-01-06,neutral,24,2.0
2014-01-06,positive,24,3.0
2014-01-06,negative,9,2.0
2014-01-13,positive,31,3.3226
2014-01-13,neutral,20,2.4
2014-01-13,negative,7,1.8571
2014-01-20,positive,29,3.2414
2014-01-20,negative,17,1.7059
2014-01-20,neutral,17,2.3529
2014-01-27,positive,28,3.3214
2014-01-27,negative,16,1.6875
2014-01-27,neutral,14,2.5
2014-02-03,positive,30,3.3333
2014-02-03,neutral,11,2.9091
2014-02-03,negative,9,1.4444
2014-02-10,positive,28,3.3571
2014-02-10,neutral,11,3.1818
2014-02-10,negative,7,1.8571
2014-02-17,positive,19,2.8947
2014-02-17,neutral,18,2.0556
2014-02-17,negative,12,1.75
2014-02-24,neutral,18,2.2778
2014-02-24,positive,18,3.3333
2014-02-24,negative,8,1.75
2014-03-03,neutral,16,2.0625
2014-03-03,positive,15,3.1333
2014-03-03,negative,11,2.0909
2014-03-10,positive,32,3.6562
2014-03-10,neutral,25,2.88
2014-03-10,negative,14,2.1429
2014-03-17,positive,342,3.655
2014-03-17,neutral,227,2.3877
2014-03-17,negative,136,1.875
2014-03-24,positive,188,3.6809
2014-03-24,neutral,127,2.6299
2014-03-24,negative,77,2.013
2014-03-31,positive,58,3.5517
2014-03-31,neutral,30,2.4
2014-03-31,negative,29,2.1724
2014-04-07,positive,50,3.86
2014-04-07,neutral,32,2.0
2014-04-07,negative,22,1.6818
2014-04-14,positive,29,3.2069
2014-04-14,neutral,22,2.1818
2014-04-14,negative,12,1.5
2014-04-21,neutral,35,1.6857
2014-04-21,positive,30,2.7667
2014-04-21,negative,14,1.2857
2014-04-28,positive,32,3.125
2014-04-28,neutral,19,2.0
2014-04-28,negative,18,1.5
2014-05-05,positive,23,3.0
2014-05-05,neutral,20,1.75
2014-05-05,negative,18,1.3333
2014-05-12,neutral,28,2.1071
2014-05-12,positive,28,2.6429
